make_id,make_name,model_id,model_name,year
476,DODGE,1958,Ram Chassis Cab,1980
476,DODGE,10962,Ram Van,1980
476,DODGE,10963,Ram Wagon,1980
476,DODGE,14766,400,1981
476,DODGE,14416,600,1981
476,DODGE,14415,ARIES,1981
476,DODGE,1893,Challenger,1981
476,DODGE,6250,Colt,1981
476,DODGE,14419,Conquest,1981
476,DODGE,14868,D-Series,1981
476,DODGE,14868,D-Series,1981
476,DODGE,15056,D50,1981
476,DODGE,14417,DIPLOMAT,1981
476,DODGE,14375,Dynasty,1981
476,DODGE,14418,LANCER,1981
476,DODGE,14767,Mirada,1981
476,DODGE,14389,Monaco,1981
476,DODGE,14402,OMNI,1981
476,DODGE,15124,RD200 / RD250,1981
476,DODGE,1958,Ram Chassis Cab,1981
476,DODGE,10962,Ram Van,1981
476,DODGE,10962,Ram Van,1981
476,DODGE,10962,Ram Van,1981
476,DODGE,10962,Ram Van,1981
476,DODGE,10963,Ram Wagon,1981
476,DODGE,10963,Ram Wagon,1981
476,DODGE,10963,Ram Wagon,1981
476,DODGE,10963,Ram Wagon,1981
476,DODGE,6356,Ramcharger,1981
476,DODGE,6356,Ramcharger,1981
476,DODGE,14772,ST.REGIS,1981
476,DODGE,14869,W-Series,1981
476,DODGE,14869,W-Series,1981
476,DODGE,14869,W-Series,1981
476,DODGE,14869,W-Series,1981
476,DODGE,14766,400,1982
476,DODGE,14416,600,1982
476,DODGE,14415,ARIES,1982
476,DODGE,1893,Challenger,1982
476,DODGE,6250,Colt,1982
476,DODGE,14419,Conquest,1982
476,DODGE,14868,D-Series,1982
476,DODGE,14868,D-Series,1982
476,DODGE,15056,D50,1982
476,DODGE,14417,DIPLOMAT,1982
476,DODGE,14375,Dynasty,1982
476,DODGE,14767,Mirada,1982
476,DODGE,14389,Monaco,1982
476,DODGE,14402,OMNI,1982
476,DODGE,1958,Ram Chassis Cab,1982
476,DODGE,10962,Ram Van,1982
476,DODGE,10962,Ram Van,1982
476,DODGE,10962,Ram Van,1982
476,DODGE,10962,Ram Van,1982
476,DODGE,10963,Ram Wagon,1982
476,DODGE,10963,Ram Wagon,1982
476,DODGE,10963,Ram Wagon,1982
476,DODGE,10963,Ram Wagon,1982
476,DODGE,6356,Ramcharger,1982
476,DODGE,6356,Ramcharger,1982
476,DODGE,15083,Rampage,1982
476,DODGE,14869,W-Series,1982
476,DODGE,14869,W-Series,1982
476,DODGE,14869,W-Series,1982
476,DODGE,14869,W-Series,1982
476,DODGE,14766,400,1983
476,DODGE,14416,600,1983
476,DODGE,14415,ARIES,1983
476,DODGE,1893,Challenger,1983
476,DODGE,1895,Charger,1983
476,DODGE,6250,Colt,1983
476,DODGE,14419,Conquest,1983
476,DODGE,14868,D-Series,1983
476,DODGE,14868,D-Series,1983
476,DODGE,14868,D-Series,1983
476,DODGE,15056,D50,1983
476,DODGE,14417,DIPLOMAT,1983
476,DODGE,14375,Dynasty,1983
476,DODGE,14767,Mirada,1983
476,DODGE,14389,Monaco,1983
476,DODGE,14402,OMNI,1983
476,DODGE,1958,Ram Chassis Cab,1983
476,DODGE,10962,Ram Van,1983
476,DODGE,10962,Ram Van,1983
476,DODGE,10962,Ram Van,1983
476,DODGE,10962,Ram Van,1983
476,DODGE,10963,Ram Wagon,1983
476,DODGE,10963,Ram Wagon,1983
476,DODGE,10963,Ram Wagon,1983
476,DODGE,10963,Ram Wagon,1983
476,DODGE,6356,Ramcharger,1983
476,DODGE,6356,Ramcharger,1983
476,DODGE,15083,Rampage,1983
476,DODGE,14414,Shelby Charger,1983
476,DODGE,14869,W-Series,1983
476,DODGE,14869,W-Series,1983
476,DODGE,14869,W-Series,1983
476,DODGE,14416,600,1984
476,DODGE,14415,ARIES,1984
476,DODGE,14831,Caravan,1984
476,DODGE,14831,Caravan,1984
476,DODGE,1895,Charger,1984
476,DODGE,14868,D-Series,1984
476,DODGE,14868,D-Series,1984
476,DODGE,14868,D-Series,1984
476,DODGE,15056,D50,1984
476,DODGE,14417,DIPLOMAT,1984
476,DODGE,14376,Daytona,1984
476,DODGE,14375,Dynasty,1984
476,DODGE,14418,LANCER,1984
476,DODGE,14969,Mini Ram,1984
476,DODGE,14969,Mini Ram,1984
476,DODGE,14969,Mini Ram,1984
476,DODGE,14389,Monaco,1984
476,DODGE,14402,OMNI,1984
476,DODGE,1958,Ram Chassis Cab,1984
476,DODGE,10962,Ram Van,1984
476,DODGE,10962,Ram Van,1984
476,DODGE,10962,Ram Van,1984
476,DODGE,10962,Ram Van,1984
476,DODGE,10963,Ram Wagon,1984
476,DODGE,10963,Ram Wagon,1984
476,DODGE,10963,Ram Wagon,1984
476,DODGE,10963,Ram Wagon,1984
476,DODGE,6356,Ramcharger,1984
476,DODGE,6356,Ramcharger,1984
476,DODGE,15083,Rampage,1984
476,DODGE,15003,Royal Mini Ram Van,1984
476,DODGE,15003,Royal Mini Ram Van,1984
476,DODGE,14414,Shelby Charger,1984
476,DODGE,14869,W-Series,1984
476,DODGE,14869,W-Series,1984
476,DODGE,14869,W-Series,1984
476,DODGE,14416,600,1985
476,DODGE,14415,ARIES,1985
476,DODGE,14831,Caravan,1985
476,DODGE,14831,Caravan,1985
476,DODGE,14831,Caravan,1985
476,DODGE,1895,Charger,1985
476,DODGE,6250,Colt,1985
476,DODGE,6250,Colt,1985
476,DODGE,14419,Conquest,1985
476,DODGE,14419,Conquest,1985
476,DODGE,14868,D-Series,1985
476,DODGE,14868,D-Series,1985
476,DODGE,14868,D-Series,1985
476,DODGE,15056,D50,1985
476,DODGE,14417,DIPLOMAT,1985
476,DODGE,14376,Daytona,1985
476,DODGE,14375,Dynasty,1985
476,DODGE,14418,LANCER,1985
476,DODGE,14969,Mini Ram,1985
476,DODGE,14969,Mini Ram,1985
476,DODGE,14389,Monaco,1985
476,DODGE,14402,OMNI,1985
476,DODGE,14939,Raider,1985
476,DODGE,14939,Raider,1985
476,DODGE,1958,Ram Chassis Cab,1985
476,DODGE,10962,Ram Van,1985
476,DODGE,10962,Ram Van,1985
476,DODGE,10962,Ram Van,1985
476,DODGE,10963,Ram Wagon,1985
476,DODGE,10963,Ram Wagon,1985
476,DODGE,10963,Ram Wagon,1985
476,DODGE,6356,Ramcharger,1985
476,DODGE,15003,Royal Mini Ram Van,1985
476,DODGE,15003,Royal Mini Ram Van,1985
476,DODGE,14414,Shelby Charger,1985
476,DODGE,14869,W-Series,1985
476,DODGE,14869,W-Series,1985
476,DODGE,14416,600,1986
476,DODGE,14415,ARIES,1986
476,DODGE,14831,Caravan,1986
476,DODGE,14831,Caravan,1986
476,DODGE,1895,Charger,1986
476,DODGE,6250,Colt,1986
476,DODGE,6250,Colt,1986
476,DODGE,14419,Conquest,1986
476,DODGE,14419,Conquest,1986
476,DODGE,14868,D-Series,1986
476,DODGE,14868,D-Series,1986
476,DODGE,15056,D50,1986
476,DODGE,14417,DIPLOMAT,1986
476,DODGE,14376,Daytona,1986
476,DODGE,14375,Dynasty,1986
476,DODGE,14418,LANCER,1986
476,DODGE,14969,Mini Ram,1986
476,DODGE,14969,Mini Ram,1986
476,DODGE,14969,Mini Ram,1986
476,DODGE,14389,Monaco,1986
476,DODGE,14402,OMNI,1986
476,DODGE,14939,Raider,1986
476,DODGE,14939,Raider,1986
476,DODGE,1958,Ram Chassis Cab,1986
476,DODGE,10962,Ram Van,1986
476,DODGE,10962,Ram Van,1986
476,DODGE,10962,Ram Van,1986
476,DODGE,10963,Ram Wagon,1986
476,DODGE,10963,Ram Wagon,1986
476,DODGE,10963,Ram Wagon,1986
476,DODGE,6356,Ramcharger,1986
476,DODGE,15003,Royal Mini Ram Van,1986
476,DODGE,15003,Royal Mini Ram Van,1986
476,DODGE,14414,Shelby Charger,1986
476,DODGE,14869,W-Series,1986
476,DODGE,14869,W-Series,1986
476,DODGE,14416,600,1987
476,DODGE,14415,ARIES,1987
476,DODGE,14831,Caravan,1987
476,DODGE,14831,Caravan,1987
476,DODGE,1895,Charger,1987
476,DODGE,6250,Colt,1987
476,DODGE,6250,Colt,1987
476,DODGE,14419,Conquest,1987
476,DODGE,14419,Conquest,1987
476,DODGE,14868,D-Series,1987
476,DODGE,14868,D-Series,1987
476,DODGE,14868,D-Series,1987
476,DODGE,14417,DIPLOMAT,1987
476,DODGE,1941,Dakota,1987
476,DODGE,1941,Dakota,1987
476,DODGE,14376,Daytona,1987
476,DODGE,14375,Dynasty,1987
476,DODGE,14418,LANCER,1987
476,DODGE,14969,Mini Ram,1987
476,DODGE,14969,Mini Ram,1987
476,DODGE,14389,Monaco,1987
476,DODGE,14402,OMNI,1987
476,DODGE,14864,RAM 50,1987
476,DODGE,14939,Raider,1987
476,DODGE,14939,Raider,1987
476,DODGE,1958,Ram Chassis Cab,1987
476,DODGE,10962,Ram Van,1987
476,DODGE,10962,Ram Van,1987
476,DODGE,10962,Ram Van,1987
476,DODGE,10963,Ram Wagon,1987
476,DODGE,10963,Ram Wagon,1987
476,DODGE,10963,Ram Wagon,1987
476,DODGE,6356,Ramcharger,1987
476,DODGE,15003,Royal Mini Ram Van,1987
476,DODGE,15003,Royal Mini Ram Van,1987
476,DODGE,14363,Shadow,1987
476,DODGE,14414,Shelby Charger,1987
476,DODGE,14869,W-Series,1987
476,DODGE,14869,W-Series,1987
476,DODGE,14416,600,1988
476,DODGE,14415,ARIES,1988
476,DODGE,14831,Caravan,1988
476,DODGE,14831,Caravan,1988
476,DODGE,6250,Colt,1988
476,DODGE,6250,Colt,1988
476,DODGE,14419,Conquest,1988
476,DODGE,14868,D-Series,1988
