make_id,make_name,model_id,model_name,year
474,HONDA,30468,ATC250,1981
474,HONDA,30382,ATC350X,1981
474,HONDA,1861,Accord,1981
474,HONDA,3695,CB-1,1981
474,HONDA,14865,CB125,1981
474,HONDA,14807,CB450,1981
474,HONDA,26847,CB550,1981
474,HONDA,26841,CB650,1981
474,HONDA,14809,CB700,1981
474,HONDA,26840,CB750,1981
474,HONDA,12554,CB750 (Nighthawk 750),1981
474,HONDA,12318,CB900,1981
474,HONDA,27546,CBX,1981
474,HONDA,26829,CH125,1981
474,HONDA,14791,CH150,1981
474,HONDA,14789,CH250,1981
474,HONDA,12418,CH80 (Elite),1981
474,HONDA,26830,CM200,1981
474,HONDA,26831,CM250C,1981
474,HONDA,30813,CM400,1981
474,HONDA,26835,CM450,1981
474,HONDA,14795,CMX450C,1981
474,HONDA,14803,CN250,1981
474,HONDA,11408,CR125R,1981
474,HONDA,10960,CR250R,1981
474,HONDA,12651,CR500R,1981
474,HONDA,12573,CR80R,1981
474,HONDA,26833,CX500,1981
474,HONDA,26850,CX650,1981
474,HONDA,1863,Civic,1981
474,HONDA,3696,ELITE 250,1981
474,HONDA,3776,Elite,1981
474,HONDA,12220,GL1100 (GOLDWING),1981
474,HONDA,12221,GL1200 (GOLDWING),1981
474,HONDA,3249,Gold Wing,1981
474,HONDA,3684,Hawk GT,1981
474,HONDA,14813,NB50M,1981
474,HONDA,31582,NC50,1981
474,HONDA,14828,NH80,1981
474,HONDA,14867,NN50MD,1981
474,HONDA,14794,NQ50,1981
474,HONDA,31581,NU50,1981
474,HONDA,3700,NX125,1981
474,HONDA,3699,NX250,1981
474,HONDA,3778,NX650,1981
474,HONDA,3618,Pacific Coast,1981
474,HONDA,5107,Prelude,1981
474,HONDA,14792,SE50H,1981
474,HONDA,14793,SE50PH,1981
474,HONDA,14790,SE50PI,1981
474,HONDA,3484,Shadow VLX,1981
474,HONDA,3411,Silverwing,1981
474,HONDA,14808,TG50,1981
474,HONDA,14801,TLR200,1981
474,HONDA,11591,TRX200DN,1981
474,HONDA,11592,TRX250,1981
474,HONDA,11593,TRX300,1981
474,HONDA,11594,TRX300EX,1981
474,HONDA,11595,TRX300EXN,1981
474,HONDA,11596,TRX300FW,1981
474,HONDA,11597,TRX300FWN,1981
474,HONDA,11598,TRX300N,1981
474,HONDA,11599,TRX400FW,1981
474,HONDA,11600,TRX400FWN,1981
474,HONDA,11588,TRX90X,1981
474,HONDA,3697,Tourist Trophy,1981
474,HONDA,3777,Transalp,1981
474,HONDA,14826,VF1000F,1981
474,HONDA,14805,VF1000R,1981
474,HONDA,14810,VF1100C,1981
474,HONDA,14825,VF1100S,1981
474,HONDA,26842,VF750 (Sabre V45),1981
474,HONDA,3735,VT1100C,1981
474,HONDA,14811,VT500,1981
474,HONDA,14796,VT700C (Shadow),1981
474,HONDA,12136,VT750,1981
474,HONDA,14823,XL100S,1981
474,HONDA,12324,XL200R,1981
474,HONDA,14799,XL250R,1981
474,HONDA,14827,XL350R,1981
