make_id,make_name,model_id,model_name,year
473,MAZDA,5471,626,1981
473,MAZDA,2741,B-Series,1981
473,MAZDA,13839,GLC,1981
473,MAZDA,5497,RX-7,1981
473,MAZDA,5471,626,1982
473,MAZDA,2741,B-Series,1982
473,MAZDA,13839,GLC,1982
473,MAZDA,5497,RX-7,1982
473,MAZDA,5471,626,1983
473,MAZDA,2741,B-Series,1983
473,MAZDA,13839,GLC,1983
473,MAZDA,5497,RX-7,1983
473,MAZDA,5471,626,1984
473,MAZDA,2741,B-Series,1984
473,MAZDA,13839,GLC,1984
473,MAZDA,5497,RX-7,1984
473,MAZDA,5471,626,1985
473,MAZDA,2741,B-Series,1985
473,MAZDA,13839,GLC,1985
473,MAZDA,5497,RX-7,1985
473,MAZDA,5494,323,1986
473,MAZDA,5471,626,1986
473,MAZDA,2741,B-Series,1986
473,MAZDA,13839,GLC,1986
473,MAZDA,5497,RX-7,1986
473,MAZDA,5494,323,1987
473,MAZDA,5471,626,1987
473,MAZDA,2741,B-Series,1987
473,MAZDA,5497,RX-7,1987
473,MAZDA,5494,323,1988
473,MAZDA,5471,626,1988
473,MAZDA,5496,929,1988
473,MAZDA,2741,B-Series,1988
473,MAZDA,7791,MX-6,1988
473,MAZDA,5497,RX-7,1988
473,MAZDA,5494,323,1989
473,MAZDA,5471,626,1989
473,MAZDA,5496,929,1989
473,MAZDA,2741,B-Series,1989
473,MAZDA,2741,B-Series,1989
473,MAZDA,2322,MPV,1989
473,MAZDA,2322,MPV,1989
473,MAZDA,5495,MX-3,1989
473,MAZDA,7791,MX-6,1989
473,MAZDA,5497,RX-7,1989
473,MAZDA,5494,323,1990
473,MAZDA,5471,626,1990
473,MAZDA,5496,929,1990
473,MAZDA,2741,B-Series,1990
473,MAZDA,2322,MPV,1990
473,MAZDA,2322,MPV,1990
473,MAZDA,5495,MX-3,1990
473,MAZDA,2072,MX-5,1990
473,MAZDA,7791,MX-6,1990
473,MAZDA,5410,Protege,1990
473,MAZDA,5497,RX-7,1990
473,MAZDA,5494,323,1991
473,MAZDA,5471,626,1991
473,MAZDA,5496,929,1991
473,MAZDA,2741,B-Series,1991
473,MAZDA,2322,MPV,1991
473,MAZDA,5495,MX-3,1991
473,MAZDA,2072,MX-5,1991
473,MAZDA,7791,MX-6,1991
473,MAZDA,13901,Navajo,1991
473,MAZDA,5410,Protege,1991
473,MAZDA,5497,RX-7,1991
473,MAZDA,5494,323,1992
473,MAZDA,5471,626,1992
473,MAZDA,5496,929,1992
473,MAZDA,2741,B-Series,1992
473,MAZDA,2322,MPV,1992
473,MAZDA,5495,MX-3,1992
473,MAZDA,2072,MX-5,1992
473,MAZDA,7791,MX-6,1992
473,MAZDA,13901,Navajo,1992
473,MAZDA,5410,Protege,1992
473,MAZDA,5494,323,1993
473,MAZDA,5471,626,1993
473,MAZDA,5496,929,1993
473,MAZDA,2741,B-Series,1993
473,MAZDA,2322,MPV,1993
473,MAZDA,5495,MX-3,1993
473,MAZDA,2072,MX-5,1993
473,MAZDA,7791,MX-6,1993
473,MAZDA,13901,Navajo,1993
473,MAZDA,5410,Protege,1993
473,MAZDA,5497,RX-7,1993
473,MAZDA,5494,323,1994
473,MAZDA,5471,626,1994
473,MAZDA,5496,929,1994
473,MAZDA,2741,B-Series,1994
473,MAZDA,2322,MPV,1994
473,MAZDA,2322,MPV,1994
473,MAZDA,5495,MX-3,1994
473,MAZDA,2072,MX-5,1994
473,MAZDA,7791,MX-6,1994
473,MAZDA,13901,Navajo,1994
473,MAZDA,13901,Navajo,1994
473,MAZDA,5410,Protege,1994
473,MAZDA,5497,RX-7,1994
473,MAZDA,5471,626,1995
473,MAZDA,5496,929,1995
473,MAZDA,2741,B-Series,1995
473,MAZDA,2322,MPV,1995
473,MAZDA,5495,MX-3,1995
473,MAZDA,2072,MX-5,1995
473,MAZDA,5470,Millenia,1995
473,MAZDA,5410,Protege,1995
473,MAZDA,5497,RX-7,1995
473,MAZDA,5471,626,1996
473,MAZDA,5496,929,1996
473,MAZDA,2741,B-Series,1996
473,MAZDA,2322,MPV,1996
473,MAZDA,5495,MX-3,1996
