make_id,make_name,model_id,model_name,year
449,MERCEDES-BENZ,14081,L1013,1980
449,MERCEDES-BENZ,14082,L1113,1980
449,MERCEDES-BENZ,14083,L1116,1980
449,MERCEDES-BENZ,14087,L1117,1980
449,MERCEDES-BENZ,14084,L1316,1980
449,MERCEDES-BENZ,14088,L1317,1980
449,MERCEDES-BENZ,14093,L1319,1980
449,MERCEDES-BENZ,14085,L1418,1980
449,MERCEDES-BENZ,14089,L1419,1980
449,MERCEDES-BENZ,14092,LP1219,1980
449,MERCEDES-BENZ,14090,LP1419,1980
449,MERCEDES-BENZ,14091,LPS1525,1980
449,MERCEDES-BENZ,14774,240,1981
449,MERCEDES-BENZ,14773,280,1981
449,MERCEDES-BENZ,14014,300,1981
449,MERCEDES-BENZ,14775,380,1981
449,MERCEDES-BENZ,14081,L1013,1981
449,MERCEDES-BENZ,14082,L1113,1981
449,MERCEDES-BENZ,14083,L1116,1981
449,MERCEDES-BENZ,14087,L1117,1981
449,MERCEDES-BENZ,14084,L1316,1981
449,MERCEDES-BENZ,14088,L1317,1981
449,MERCEDES-BENZ,14093,L1319,1981
449,MERCEDES-BENZ,14085,L1418,1981
449,MERCEDES-BENZ,14089,L1419,1981
449,MERCEDES-BENZ,14092,LP1219,1981
449,MERCEDES-BENZ,14090,LP1419,1981
449,MERCEDES-BENZ,14091,LPS1525,1981
449,MERCEDES-BENZ,14774,240,1982
449,MERCEDES-BENZ,14773,280,1982
449,MERCEDES-BENZ,14014,300,1982
449,MERCEDES-BENZ,14775,380,1982
449,MERCEDES-BENZ,14081,L1013,1982
449,MERCEDES-BENZ,14082,L1113,1982
449,MERCEDES-BENZ,14083,L1116,1982
449,MERCEDES-BENZ,14087,L1117,1982
449,MERCEDES-BENZ,14084,L1316,1982
449,MERCEDES-BENZ,14088,L1317,1982
449,MERCEDES-BENZ,14093,L1319,1982
449,MERCEDES-BENZ,14085,L1418,1982
449,MERCEDES-BENZ,14089,L1419,1982
449,MERCEDES-BENZ,14092,LP1219,1982
449,MERCEDES-BENZ,14090,LP1419,1982
449,MERCEDES-BENZ,14091,LPS1525,1982
449,MERCEDES-BENZ,14013,190,1983
449,MERCEDES-BENZ,14774,240,1983
449,MERCEDES-BENZ,17602,260,1983
449,MERCEDES-BENZ,14014,300,1983
449,MERCEDES-BENZ,17599,350,1983
449,MERCEDES-BENZ,14775,380,1983
449,MERCEDES-BENZ,17600,420,1983
449,MERCEDES-BENZ,14015,500,1983
449,MERCEDES-BENZ,14081,L1013,1983
449,MERCEDES-BENZ,14082,L1113,1983
449,MERCEDES-BENZ,14083,L1116,1983
449,MERCEDES-BENZ,14087,L1117,1983
449,MERCEDES-BENZ,14084,L1316,1983
449,MERCEDES-BENZ,14088,L1317,1983
449,MERCEDES-BENZ,14093,L1319,1983
449,MERCEDES-BENZ,14085,L1418,1983
449,MERCEDES-BENZ,14089,L1419,1983
449,MERCEDES-BENZ,14092,LP1219,1983
449,MERCEDES-BENZ,14090,LP1419,1983
449,MERCEDES-BENZ,14091,LPS1525,1983
449,MERCEDES-BENZ,14013,190,1984
449,MERCEDES-BENZ,17602,260,1984
449,MERCEDES-BENZ,14014,300,1984
449,MERCEDES-BENZ,17599,350,1984
449,MERCEDES-BENZ,14775,380,1984
449,MERCEDES-BENZ,17600,420,1984
449,MERCEDES-BENZ,14015,500,1984
449,MERCEDES-BENZ,14081,L1013,1984
449,MERCEDES-BENZ,14082,L1113,1984
449,MERCEDES-BENZ,14083,L1116,1984
449,MERCEDES-BENZ,14087,L1117,1984
449,MERCEDES-BENZ,14084,L1316,1984
449,MERCEDES-BENZ,14088,L1317,1984
449,MERCEDES-BENZ,14093,L1319,1984
449,MERCEDES-BENZ,14085,L1418,1984
449,MERCEDES-BENZ,14089,L1419,1984
449,MERCEDES-BENZ,14092,LP1219,1984
449,MERCEDES-BENZ,14090,LP1419,1984
449,MERCEDES-BENZ,14091,LPS1525,1984
449,MERCEDES-BENZ,14013,190,1985
449,MERCEDES-BENZ,17602,260,1985
449,MERCEDES-BENZ,14014,300,1985
449,MERCEDES-BENZ,17599,350,1985
449,MERCEDES-BENZ,14775,380,1985
449,MERCEDES-BENZ,17600,420,1985
449,MERCEDES-BENZ,14015,500,1985
449,MERCEDES-BENZ,14081,L1013,1985
449,MERCEDES-BENZ,14082,L1113,1985
449,MERCEDES-BENZ,14083,L1116,1985
449,MERCEDES-BENZ,14087,L1117,1985
449,MERCEDES-BENZ,14084,L1316,1985
449,MERCEDES-BENZ,14088,L1317,1985
449,MERCEDES-BENZ,14093,L1319,1985
449,MERCEDES-BENZ,14085,L1418,1985
449,MERCEDES-BENZ,14089,L1419,1985
449,MERCEDES-BENZ,14092,LP1219,1985
449,MERCEDES-BENZ,14090,LP1419,1985
449,MERCEDES-BENZ,14091,LPS1525,1985
449,MERCEDES-BENZ,14013,190,1986
449,MERCEDES-BENZ,17602,260,1986
449,MERCEDES-BENZ,14014,300,1986
449,MERCEDES-BENZ,17599,350,1986
449,MERCEDES-BENZ,17600,420,1986
449,MERCEDES-BENZ,14015,500,1986
449,MERCEDES-BENZ,17601,560,1986
449,MERCEDES-BENZ,14081,L1013,1986
449,MERCEDES-BENZ,14082,L1113,1986
449,MERCEDES-BENZ,14083,L1116,1986
449,MERCEDES-BENZ,14087,L1117,1986
449,MERCEDES-BENZ,14084,L1316,1986
449,MERCEDES-BENZ,14088,L1317,1986
449,MERCEDES-BENZ,14093,L1319,1986
449,MERCEDES-BENZ,14085,L1418,1986
449,MERCEDES-BENZ,14089,L1419,1986
449,MERCEDES-BENZ,14092,LP1219,1986
449,MERCEDES-BENZ,14090,LP1419,1986
449,MERCEDES-BENZ,14091,LPS1525,1986
449,MERCEDES-BENZ,14013,190,1987
449,MERCEDES-BENZ,17602,260,1987
449,MERCEDES-BENZ,14014,300,1987
449,MERCEDES-BENZ,17599,350,1987
449,MERCEDES-BENZ,17600,420,1987
449,MERCEDES-BENZ,14015,500,1987
449,MERCEDES-BENZ,17601,560,1987
449,MERCEDES-BENZ,14081,L1013,1987
449,MERCEDES-BENZ,14082,L1113,1987
449,MERCEDES-BENZ,14083,L1116,1987
449,MERCEDES-BENZ,14087,L1117,1987
449,MERCEDES-BENZ,14084,L1316,1987
