make_id,make_name,model_id,model_name,year
481,MITSUBISHI,14455,Cordia,1983
481,MITSUBISHI,14446,Starion,1983
481,MITSUBISHI,14454,Tredia,1983
481,MITSUBISHI,14455,Cordia,1984
481,MITSUBISHI,14446,Starion,1984
481,MITSUBISHI,14454,Tredia,1984
481,MITSUBISHI,14455,Cordia,1985
481,MITSUBISHI,2165,Galant,1985
481,MITSUBISHI,14572,Mighty Max,1985
481,MITSUBISHI,14572,Mighty Max,1985
481,MITSUBISHI,2342,Mirage,1985
481,MITSUBISHI,2318,Montero,1985
481,MITSUBISHI,2318,Montero,1985
481,MITSUBISHI,14577,SP,1985
481,MITSUBISHI,14577,SP,1985
481,MITSUBISHI,14446,Starion,1985
481,MITSUBISHI,14454,Tredia,1985
481,MITSUBISHI,14455,Cordia,1986
481,MITSUBISHI,2165,Galant,1986
481,MITSUBISHI,14572,Mighty Max,1986
481,MITSUBISHI,14572,Mighty Max,1986
481,MITSUBISHI,2342,Mirage,1986
481,MITSUBISHI,2318,Montero,1986
481,MITSUBISHI,2318,Montero,1986
481,MITSUBISHI,14577,SP,1986
481,MITSUBISHI,14577,SP,1986
481,MITSUBISHI,14446,Starion,1986
481,MITSUBISHI,14454,Tredia,1986
481,MITSUBISHI,14455,Cordia,1987
481,MITSUBISHI,2165,Galant,1987
481,MITSUBISHI,14572,Mighty Max,1987
481,MITSUBISHI,14572,Mighty Max,1987
481,MITSUBISHI,2342,Mirage,1987
481,MITSUBISHI,2318,Montero,1987
481,MITSUBISHI,2318,Montero,1987
481,MITSUBISHI,14573,SPX,1987
481,MITSUBISHI,14573,SPX,1987
481,MITSUBISHI,14442,Space Wagon,1987
481,MITSUBISHI,14446,Starion,1987
481,MITSUBISHI,14454,Tredia,1987
481,MITSUBISHI,14449,Van,1987
481,MITSUBISHI,14449,Van,1987
481,MITSUBISHI,14455,Cordia,1988
481,MITSUBISHI,2165,Galant,1988
481,MITSUBISHI,14572,Mighty Max,1988
481,MITSUBISHI,14572,Mighty Max,1988
481,MITSUBISHI,2342,Mirage,1988
481,MITSUBISHI,2342,Mirage,1988
481,MITSUBISHI,2318,Montero,1988
481,MITSUBISHI,2318,Montero,1988
481,MITSUBISHI,14423,Precis,1988
481,MITSUBISHI,14573,SPX,1988
481,MITSUBISHI,14573,SPX,1988
481,MITSUBISHI,14442,Space Wagon,1988
481,MITSUBISHI,14442,Space Wagon,1988
481,MITSUBISHI,14446,Starion,1988
481,MITSUBISHI,14454,Tredia,1988
481,MITSUBISHI,14449,Van,1988
481,MITSUBISHI,14449,Van,1988
481,MITSUBISHI,2165,Galant,1989
481,MITSUBISHI,14572,Mighty Max,1989
481,MITSUBISHI,14572,Mighty Max,1989
481,MITSUBISHI,2342,Mirage,1989
481,MITSUBISHI,2342,Mirage,1989
481,MITSUBISHI,2318,Montero,1989
481,MITSUBISHI,2318,Montero,1989
481,MITSUBISHI,14423,Precis,1989
481,MITSUBISHI,14573,SPX,1989
481,MITSUBISHI,14573,SPX,1989
481,MITSUBISHI,14445,Sigma,1989
481,MITSUBISHI,14446,Starion,1989
481,MITSUBISHI,14449,Van,1989
481,MITSUBISHI,14449,Van,1989
481,MITSUBISHI,14443,Wagon,1989
481,MITSUBISHI,14443,Wagon,1989
481,MITSUBISHI,2166,Eclipse,1990
481,MITSUBISHI,2165,Galant,1990
481,MITSUBISHI,14572,Mighty Max,1990
481,MITSUBISHI,14572,Mighty Max,1990
481,MITSUBISHI,2342,Mirage,1990
481,MITSUBISHI,2342,Mirage,1990
481,MITSUBISHI,2318,Montero,1990
481,MITSUBISHI,2318,Montero,1990
481,MITSUBISHI,14423,Precis,1990
481,MITSUBISHI,14573,SPX,1990
481,MITSUBISHI,14573,SPX,1990
481,MITSUBISHI,14445,Sigma,1990
481,MITSUBISHI,14446,Starion,1990
481,MITSUBISHI,14449,Van,1990
481,MITSUBISHI,14449,Van,1990
481,MITSUBISHI,14443,Wagon,1990
481,MITSUBISHI,14443,Wagon,1990
481,MITSUBISHI,5423,3000GT,1991
481,MITSUBISHI,2166,Eclipse,1991
481,MITSUBISHI,2165,Galant,1991
481,MITSUBISHI,14572,Mighty Max,1991
481,MITSUBISHI,2342,Mirage,1991
481,MITSUBISHI,5755,Montero Sport,1991
481,MITSUBISHI,5755,Montero Sport,1991
481,MITSUBISHI,14423,Precis,1991
481,MITSUBISHI,5423,3000GT,1992
481,MITSUBISHI,5425,Diamante,1992
481,MITSUBISHI,2166,Eclipse,1992
481,MITSUBISHI,5422,Expo,1992
481,MITSUBISHI,2165,Galant,1992
481,MITSUBISHI,14572,Mighty Max,1992
481,MITSUBISHI,2342,Mirage,1992
481,MITSUBISHI,5755,Montero Sport,1992
481,MITSUBISHI,5755,Montero Sport,1992
481,MITSUBISHI,14423,Precis,1992
481,MITSUBISHI,5423,3000GT,1993
481,MITSUBISHI,5425,Diamante,1993
481,MITSUBISHI,2166,Eclipse,1993
481,MITSUBISHI,5422,Expo,1993
481,MITSUBISHI,2165,Galant,1993
481,MITSUBISHI,14572,Mighty Max,1993
481,MITSUBISHI,2342,Mirage,1993
481,MITSUBISHI,5755,Montero Sport,1993
481,MITSUBISHI,14423,Precis,1993
481,MITSUBISHI,1950,Raider,1993
481,MITSUBISHI,5423,3000GT,1994
481,MITSUBISHI,5425,Diamante,1994
481,MITSUBISHI,2166,Eclipse,1994
481,MITSUBISHI,5422,Expo,1994
481,MITSUBISHI,2165,Galant,1994
481,MITSUBISHI,14572,Mighty Max,1994
481,MITSUBISHI,2342,Mirage,1994
481,MITSUBISHI,2318,Montero,1994
481,MITSUBISHI,14423,Precis,1994
481,MITSUBISHI,1950,Raider,1994
481,MITSUBISHI,5423,3000GT,1995
481,MITSUBISHI,5425,Diamante,1995
481,MITSUBISHI,2166,Eclipse,1995
481,MITSUBISHI,5422,Expo,1995
481,MITSUBISHI,2165,Galant,1995
481,MITSUBISHI,14572,Mighty Max,1995
481,MITSUBISHI,2342,Mirage,1995
481,MITSUBISHI,2318,Montero,1995
481,MITSUBISHI,1950,Raider,1995
481,MITSUBISHI,5423,3000GT,1996
481,MITSUBISHI,5425,Diamante,1996
481,MITSUBISHI,2166,Eclipse,1996
481,MITSUBISHI,5422,Expo,1996
481,MITSUBISHI,2165,Galant,1996
481,MITSUBISHI,14572,Mighty Max,1996
481,MITSUBISHI,2342,Mirage,1996
481,MITSUBISHI,2318,Montero,1996
481,MITSUBISHI,1950,Raider,1996
481,MITSUBISHI,5423,3000GT,1997
481,MITSUBISHI,5425,Diamante,1997
481,MITSUBISHI,2166,Eclipse,1997
481,MITSUBISHI,2165,Galant,1997
481,MITSUBISHI,2342,Mirage,1997
481,MITSUBISHI,2318,Montero,1997
481,MITSUBISHI,5755,Montero Sport,1997
481,MITSUBISHI,1950,Raider,1997
481,MITSUBISHI,5423,3000GT,1998
481,MITSUBISHI,5425,Diamante,1998
481,MITSUBISHI,2166,Eclipse,1998
481,MITSUBISHI,2165,Galant,1998
481,MITSUBISHI,2342,Mirage,1998
481,MITSUBISHI,2318,Montero,1998
481,MITSUBISHI,5755,Montero Sport,1998
481,MITSUBISHI,1950,Raider,1998
481,MITSUBISHI,5423,3000GT,1999
481,MITSUBISHI,5425,Diamante,1999
481,MITSUBISHI,2166,Eclipse,1999
481,MITSUBISHI,2165,Galant,1999
481,MITSUBISHI,2342,Mirage,1999
481,MITSUBISHI,2318,Montero,1999
481,MITSUBISHI,5755,Montero Sport,1999
481,MITSUBISHI,1950,Raider,1999
481,MITSUBISHI,5425,Diamante,2000
481,MITSUBISHI,2166,Eclipse,2000
481,MITSUBISHI,2165,Galant,2000
481,MITSUBISHI,2342,Mirage,2000
481,MITSUBISHI,2318,Montero,2000
481,MITSUBISHI,5755,Montero Sport,2000
481,MITSUBISHI,1950,Raider,2000
481,MITSUBISHI,5425,Diamante,2001
481,MITSUBISHI,2166,Eclipse,2001
481,MITSUBISHI,2165,Galant,2001
481,MITSUBISHI,2342,Mirage,2001
481,MITSUBISHI,2318,Montero,2001
481,MITSUBISHI,5755,Montero Sport,2001
481,MITSUBISHI,1950,Raider,2001
481,MITSUBISHI,5425,Diamante,2002
481,MITSUBISHI,2166,Eclipse,2002
481,MITSUBISHI,2165,Galant,2002
481,MITSUBISHI,2164,Lancer,2002
481,MITSUBISHI,2342,Mirage,2002
481,MITSUBISHI,2318,Montero,2002
481,MITSUBISHI,5755,Montero Sport,2002
481,MITSUBISHI,1950,Raider,2002
481,MITSUBISHI,5425,Diamante,2003
481,MITSUBISHI,2166,Eclipse,2003
481,MITSUBISHI,2165,Galant,2003
481,MITSUBISHI,2164,Lancer,2003
481,MITSUBISHI,5809,Lancer Evolution,2003
481,MITSUBISHI,2318,Montero,2003
481,MITSUBISHI,5755,Montero Sport,2003
481,MITSUBISHI,2163,Outlander,2003
481,MITSUBISHI,1950,Raider,2003
481,MITSUBISHI,5425,Diamante,2004
481,MITSUBISHI,2166,Eclipse,2004
481,MITSUBISHI,2167,Endeavor,2004
481,MITSUBISHI,2165,Galant,2004
481,MITSUBISHI,2164,Lancer,2004
481,MITSUBISHI,5809,Lancer Evolution,2004
481,MITSUBISHI,5808,Lancer SportBack,2004
481,MITSUBISHI,2318,Montero,2004
481,MITSUBISHI,5755,Montero Sport,2004
481,MITSUBISHI,2163,Outlander,2004
481,MITSUBISHI,1950,Raider,2004
481,MITSUBISHI,5425,Diamante,2005
481,MITSUBISHI,2166,Eclipse,2005
481,MITSUBISHI,2167,Endeavor,2005
481,MITSUBISHI,2165,Galant,2005
481,MITSUBISHI,2164,Lancer,2005
481,MITSUBISHI,5809,Lancer Evolution,2005
481,MITSUBISHI,5808,Lancer SportBack,2005
481,MITSUBISHI,2318,Montero,2005
481,MITSUBISHI,2163,Outlander,2005
481,MITSUBISHI,1950,Raider,2005
481,MITSUBISHI,5425,Diamante,2006
481,MITSUBISHI,2166,Eclipse,2006
481,MITSUBISHI,2167,Endeavor,2006
481,MITSUBISHI,2165,Galant,2006
