make_id,make_name,model_id,model_name,year
448,TOYOTA,3645,Celica,1981
448,TOYOTA,2208,Corolla,1981
448,TOYOTA,14551,Corona,1981
448,TOYOTA,3655,Cressida,1981
448,TOYOTA,2211,Land Cruiser,1981
448,TOYOTA,14263,Pick-Up,1981
448,TOYOTA,14263,Pick-Up,1981
448,TOYOTA,14263,Pick-Up,1981
448,TOYOTA,14510,Starlet,1981
448,TOYOTA,3647,Supra,1981
448,TOYOTA,3644,Tercel,1981
448,TOYOTA,3645,Celica,1982
448,TOYOTA,2208,Corolla,1982
448,TOYOTA,14551,Corona,1982
448,TOYOTA,3655,Cressida,1982
448,TOYOTA,2211,Land Cruiser,1982
448,TOYOTA,14263,Pick-Up,1982
448,TOYOTA,14263,Pick-Up,1982
448,TOYOTA,14263,Pick-Up,1982
448,TOYOTA,14510,Starlet,1982
448,TOYOTA,3647,Supra,1982
448,TOYOTA,3644,Tercel,1982
448,TOYOTA,2469,Camry,1983
448,TOYOTA,3645,Celica,1983
448,TOYOTA,2208,Corolla,1983
448,TOYOTA,3655,Cressida,1983
448,TOYOTA,2211,Land Cruiser,1983
448,TOYOTA,14263,Pick-Up,1983
448,TOYOTA,14263,Pick-Up,1983
448,TOYOTA,14263,Pick-Up,1983
448,TOYOTA,14510,Starlet,1983
448,TOYOTA,3647,Supra,1983
448,TOYOTA,3644,Tercel,1983
448,TOYOTA,2216,4Runner,1984
448,TOYOTA,2216,4Runner,1984
448,TOYOTA,2469,Camry,1984
448,TOYOTA,3645,Celica,1984
448,TOYOTA,2208,Corolla,1984
448,TOYOTA,3655,Cressida,1984
448,TOYOTA,2211,Land Cruiser,1984
448,TOYOTA,14263,Pick-Up,1984
448,TOYOTA,14263,Pick-Up,1984
448,TOYOTA,14263,Pick-Up,1984
448,TOYOTA,14510,Starlet,1984
448,TOYOTA,3647,Supra,1984
448,TOYOTA,3644,Tercel,1984
448,TOYOTA,14264,Van,1984
448,TOYOTA,14264,Van,1984
448,TOYOTA,2216,4Runner,1985
448,TOYOTA,2216,4Runner,1985
448,TOYOTA,2469,Camry,1985
448,TOYOTA,3645,Celica,1985
448,TOYOTA,2208,Corolla,1985
448,TOYOTA,3655,Cressida,1985
448,TOYOTA,2211,Land Cruiser,1985
