make_name,decade,unique_models,total_entries,first_year,last_year
AUDI,1980,6,21,1981,1989
AUDI,1990,12,46,1990,1999
AUDI,2000,17,134,2000,2009
AUDI,2010,26,185,2010,2019
AUDI,2020,40,162,2020,2024
BMW,1980,102,757,1981,1989
BMW,1990,95,699,1990,1999
BMW,2000,103,574,2000,2009
BMW,2010,112,538,2010,2019
BMW,2020,99,316,2020,2024
CHEVROLET,1980,43,510,1981,1989
CHEVROLET,1990,50,508,1990,1999
CHEVROLET,2000,53,446,2000,2009
CHEVROLET,2010,51,354,2010,2019
CHEVROLET,2020,50,242,2020,2024
DODGE,1980,34,317,1980,1989
DODGE,1990,26,272,1990,1999
DODGE,2000,21,187,2000,2009
DODGE,2010,14,128,2010,2019
DODGE,2020,6,41,2020,2024
FORD,1980,95,2636,1981,1989
FORD,1990,94,2046,1990,1999
FORD,2000,43,526,2000,2009
FORD,2010,35,370,2010,2019
FORD,2020,33,193,2020,2024
HONDA,1980,110,649,1981,1989
HONDA,1990,110,661,1990,1999
HONDA,2000,145,831,2000,2009
HONDA,2010,148,908,2010,2019
HONDA,2020,147,557,2020,2024
HYUNDAI,1980,4,13,1986,1989
HYUNDAI,1990,6,36,1990,1999
HYUNDAI,2000,12,92,2000,2009
HYUNDAI,2010,20,114,2010,2019
HYUNDAI,2020,20,75,2020,2024
JEEP,1980,11,103,1981,1989
JEEP,1990,7,93,1990,1999
JEEP,2000,7,125,2000,2009
JEEP,2010,9,126,2010,2019
JEEP,2020,12,52,2020,2024
KIA,1990,2,18,1993,1999
KIA,2000,10,106,2000,2009
KIA,2010,14,96,2010,2019
KIA,2020,17,58,2020,2024
LEXUS,1990,6,40,1990,1999
LEXUS,2000,8,76,2000,2009
LEXUS,2010,15,105,2010,2019
LEXUS,2020,14,63,2020,2024
MAZDA,1980,9,45,1981,1989
MAZDA,1990,12,93,1990,1999
MAZDA,2000,13,80,2000,2009
MAZDA,2010,12,75,2010,2019
MAZDA,2020,11,38,2020,2024
MERCEDES-BENZ,1980,22,178,1980,1989
MERCEDES-BENZ,1990,29,178,1990,1999
MERCEDES-BENZ,2000,25,227,2000,2009
MERCEDES-BENZ,2010,37,330,2010,2019
MERCEDES-BENZ,2020,39,198,2020,2024
MITSUBISHI,1980,14,75,1983,1989
MITSUBISHI,1990,16,97,1990,1999
MITSUBISHI,2000,12,85,2000,2009
MITSUBISHI,2010,16,97,2010,2019
MITSUBISHI,2020,8,38,2020,2024
NISSAN,1980,12,85,1981,1989
NISSAN,1990,19,160,1990,1999
NISSAN,2000,19,190,2000,2009
NISSAN,2010,23,276,2010,2019
NISSAN,2020,20,123,2020,2024
PORSCHE,1980,4,29,1981,1989
PORSCHE,1990,5,23,1990,1999
PORSCHE,2000,4,34,2000,2009
PORSCHE,2010,9,56,2010,2019
PORSCHE,2020,8,39,2020,2024
SUBARU,1980,10,103,1981,1989
SUBARU,1990,8,63,1990,1999
SUBARU,2000,6,43,2000,2009
SUBARU,2010,10,68,2010,2019
SUBARU,2020,9,42,2020,2024
TOYOTA,1980,14,119,1981,1989
TOYOTA,1990,20,136,1990,1999
TOYOTA,2000,26,198,2000,2009
TOYOTA,2010,34,239,2010,2019
TOYOTA,2020,30,122,2020,2024
VOLKSWAGEN,1980,13,67,1981,1989
VOLKSWAGEN,1990,12,93,1990,1999
VOLKSWAGEN,2000,17,179,2000,2009
VOLKSWAGEN,2010,19,119,2010,2019
VOLKSWAGEN,2020,15,52,2020,2024
